id,keyword,sdggoal,target,reference1,reference2,note
343,Fisher,14,14.6,0,-,
344,Fisheries,14,14.6,0,-,
345,Fisheries management,14,14.6,0,-,
346,Fishery,14,14.6,0,-,
347,Fishery management,14,14.6,0,-,
348,Fishing,14,14.6,0,-,
349,Fishing practice,14,14.6,0,-,
350,Illegal fishing,14,14.6,0,-,
351,Marine fisheries,14,14.6,0,-,
352,Marine fishery,14,14.6,0,-,
353,Overfishing,14,14.6,0,-,
354,Sustainable fishing practice ,14,14.6,7,-,
355,Unregulated fishing,14,14.6,0,-,
356,Earth system ,14,14.6,7,-,
357,Ecological resilience ,14,14.6,7,-,
358,Biodiversity loss,14,14.6,0,-,
359,Caring for the commons  ,14,14.6,31,-,
360,Caring for the public goods  ,14,14.6,31,-,
361,Common good ,14,14.6,26,-,
362,Water pollution,14,14.6,0,-,
363,Millennium Development Goals ,14,14.6,19,-,
364,conservation,14,14.6,0,-,
365,Conserve,14,14.6,0,-,
366,Ecological,14,14.6,0,-,
367,Ecology,14,14.6,0,-,
368,Ecosystem,14,14.6,0,-,
369,Coral Bleaching,14,14.6,0,-,
370,Ecological balance,14,14.6,0,-,
371,Ecological equilibium,14,14.6,0,-,
372,Ecological footprint ,14,14.6,7,16,
373,Flood ,14,14.6,19,-,
374,Pollution ,14,14.6,7,-,
375,Sustainable economic growth,14,14.6,0,-,
376,Sustainable societies,14,14.6,0,-,
377,Sustainable society,14,14.6,0,-,
378,Aquaculture ,14,14.7,7,-,
379,Coastal management ,14,14.7,7,-,
380,Coastal resource,14,14.7,0,-,
381,Eco-tourism ,14,14.7,7,-,
382,Ecosystem management,14,14.7,0,-,
383,Ecotourism ,14,14.7,7,-,
384,Fisher,14,14.7,0,-,
385,Fisheries,14,14.7,0,-,
386,fisheries management,14,14.7,0,-,
387,fishery management,14,14.7,0,-,
388,Fishing,14,14.7,0,-,
389,Fishing practice,14,14.7,0,-,
390,Marine fisheries,14,14.7,0,-,
391,Marine fishery,14,14.7,0,-,
392,Marine resource,14,14.7,0,-,
393,Overfishing,14,14.7,0,-,
394,Sustainable fishing practice ,14,14.7,7,-,
395,Sustainable ocean,14,14.7,17,-,
396,Sustainable yield ,14,14.7,7,-,
397,Water policies,14,14.7,0,-,
398,Water policy,14,14.7,0,-,
399,Water resource ,14,14.7,0,-,
400,Water resource and policy,14,14.7,0,-,
401,Water resource and policies,14,14.7,0,-,
402,Global warming,14,14.7,0,-,
403,Earth system ,14,14.7,7,-,
404,Ecological resilience ,14,14.7,7,-,
405,Biodiversity loss,14,14.7,0,-,
406,Ecosystem services ,14,14.7,16,-,
407,Addis Ababa Action Agenda ,14,14.7,19,-,
408,Sustainable energy service,14,14.7,0,-,
409,Circular economy,14,14.7,0,-,
410,Eco tourism,14,14.7,0,-,
411,Natural resource,14,14.7,0,-,
412,Resourse footprint ,14,14.7,7,16,
413,Restructuring taxation ,14,14.7,19,-,
414,Water pollution,14,14.7,0,-,
415,Water saving ,14,14.7,7,-,
416,Water supply,14,14.7,0,-,
417,Millennium Development Goals ,14,14.7,19,-,
418,Net zero assets ,14,14.7,39,-,
419,Per capita material footprint ,14,14.7,20,-,
420,conservation,14,14.7,0,-,
421,Conserve,14,14.7,0,-,
422,Ecological,14,14.7,0,-,
423,Ecology,14,14.7,0,-,
424,Ecosystem,14,14.7,0,-,
425,Coral Bleaching,14,14.7,0,-,
426,Ecological balance,14,14.7,0,-,
